 trial	counterbalance	trialType	trialID	cond	audio	target_pic	target_contrast_good	target_contrast_bad	big_filler	small_filler
61	l1	train	train21	contrast	alarmclock_big.wav	alarmclock_big.jpg	alarmclock_small.jpg	earth_small.jpg	button_big.jpg	artichoke_small.jpg
62	l1	train	train22	contrast	domino_small.wav	domino_small.jpg	domino_big.jpg	peeler_big.jpg	tambourine_big.jpg	eggs_small.jpg
63	l1	train	train23	contrast	jeep_big.wav	jeep_big.jpg	jeep_small.jpg	snowboard_small.jpg	blackboard_big.jpg	candyapple_small.jpg
64	l1	train	train24	contrast	nut_small.wav	nut_small.jpg	nut_big.jpg	spotlight_big.jpg	bandage_big.jpg	axe_small.jpg
65	l1	train	train25	contrast	mushroom_big.wav	mushroom_big.jpg	mushroom_small.jpg	teeth_small.jpg	bathtub_big.jpg	sushi_small.jpg
66	l1	train	train26	contrast	camel_small.wav	camel_small.jpg	camel_big.jpg	lacrosse_big.jpg	sandwich_big.jpg	castle_small.jpg
67	l1	train	train27	contrast	yarn_big.wav	yarn_big.jpg	yarn_small.jpg	walkietalkie_small.jpg	champagne_big.jpg	babycup_small.jpg
68	l1	train	train28	contrast	banjo_small.wav	banjo_small.jpg	banjo_big.jpg	dropper_big.jpg	pooltable_big.jpg	crib_small.jpg
69	l1	train	train29	contrast	bat_big.wav	bat_big.jpg	bat_small.jpg	paintcan_small.jpg	cucumber_big.jpg	sewingmachine_big.jpg
70	l1	train	train30	contrast	eagle_small.wav	eagle_small.jpg	eagle_big.jpg	scotchtape_big.jpg	scarf_big.jpg	horse_small.jpg
71	l1	train	train31	contrast	wallet_big.wav	wallet_big.jpg	wallet_small.jpg	gasmask_small.jpg	hawk_big.jpg	hay_small.jpg
72	l1	train	train32	contrast	necklace_small.wav	necklace_small.jpg	necklace_big.jpg	matzah_big.jpg	brochette_big.jpg	kazoo_small.jpg
73	l1	train	train33	contrast	suit_big.wav	suit_big.jpg	suit_small.jpg	qtip_small.jpg	keyboard_big.jpg	redrose_small.jpg
74	l1	train	train34	contrast	boat_small.wav	boat_small.jpg	boat_big.jpg	usbstick_big.jpg	puppy_big.jpg	lighthouse_small.jpg
75	l1	train	train35	contrast	pool_big.wav	pool_big.jpg	pool_small.jpg	clover_small.jpg	spoon_big.jpg	cookiecutter_small.jpg
76	l1	train	train36	contrast	snail_small.wav	snail_small.jpg	snail_big.jpg	alien_big.jpg	candycanes_big.jpg	radish_small.jpg
77	l1	train	train37	contrast	seahorse_big.wav	seahorse_big.jpg	seahorse_small.jpg	almond_small.jpg	slide_big.jpg	pingpong_small.jpg
78	l1	train	train38	contrast	igloo_small.wav	igloo_small.jpg	igloo_big.jpg	canon_big.jpg	pineapple_big.jpg	snowflake_small.jpg
79	l1	train	train39	contrast	hammock_big.wav	hammock_big.jpg	hammock_small.jpg	pagoda_small.jpg	teepee_big.jpg	bowlofoatmeal_small.jpg
80	l1	train	train40	contrast	football_small.wav	football_small.jpg	football_big.jpg	bib_big.jpg	chess_big.jpg	scrunchie_small.jpg
81	l1	train	train41	no_contrast	boots.wav	boots_small.jpg	paperbag_big.jpg	boots_big.jpg	pinecone_big.jpg	pancakes_small.jpg
82	l1	train	train42	no_contrast	buffalo.wav	buffalo_big.jpg	mask_small.jpg	buffalo_small.jpg	ostrich_big.jpg	potato_small.jpg
83	l1	train	train43	no_contrast	cactus.wav	cactus_small.jpg	lifevest_big.jpg	cactus_big.jpg	origami_big.jpg	brooch_small.jpg
84	l1	train	train44	no_contrast	chair.wav	chair_big.jpg	checkerboard_small.jpg	chair_small.jpg	clog_big.jpg	motorcycle_small.jpg
85	l1	train	train45	no_contrast	cherry.wav	cherry_small.jpg	briefcase_big.jpg	cherry_big.jpg	train_big.jpg	jetski_small.jpg
86	l1	train	train46	no_contrast	comb.wav	comb_big.jpg	spaceship_small.jpg	comb_small.jpg	jacket_big.jpg	bowlingball_small.jpg
87	l1	train	train47	no_contrast	discoball.wav	discoball_small.jpg	beetle_big.jpg	discoball_big.jpg	gumballmachine_big.jpg	chowchow_small.jpg
88	l1	train	train48	no_contrast	elephant.wav	elephant_big.jpg	butterfly_small.jpg	elephant_small.jpg	coral_big.jpg	garlic_small.jpg
89	l1	train	train49	no_contrast	flashlight.wav	flashlight_small.jpg	door_big.jpg	flashlight_big.jpg	greenbean_big.jpg	hourglass_small.jpg
90	l1	train	train50	no_contrast	garbagebin.wav	garbagebin_big.jpg	saw_small.jpg	garbagebin_small.jpg	gardeningpail_big.jpg	tank_small.jpg
91	l1	train	train51	no_contrast	giraffe.wav	giraffe_small.jpg	rope_big.jpg	giraffe_big.jpg	bananas_big.jpg	conch_small.jpg
92	l1	train	train52	no_contrast	glass.wav	glass_big.jpg	drum_small.jpg	glass_small.jpg	creamer_big.jpg	wagon_small.jpg
93	l1	train	train53	no_contrast	hotdog.wav	hotdog_small.jpg	violin_big.jpg	hotdog_big.jpg	cinnamonroll_big.jpg	frog_small.jpg
94	l1	train	train54	no_contrast	firehydrant.wav	firehydrant_big.jpg	harp_small.jpg	firehydrant_small.jpg	floppy_big.jpg	chocolatebar_small.jpg
95	l1	train	train55	no_contrast	leaf.wav	leaf_small.jpg	flute_big.jpg	leaf_big.jpg	lollipops_big.jpg	crane_small.jpg
96	l1	train	train56	no_contrast	lipstick.wav	lipstick_big.jpg	wheel_small.jpg	lipstick_small.jpg	ring_big.jpg	burrito_small.jpg
97	l1	train	train57	no_contrast	owl.wav	owl_small.jpg	house_big.jpg	owl_big.jpg	bowtie_big.jpg	faucet_small.jpg
98	l1	train	train58	no_contrast	paperclip.wav	paperclip_big.jpg	airplane_small.jpg	paperclip_small.jpg	dalmatian_big.jpg	blueberries_small.jpg
99	l1	train	train59	no_contrast	penguin.wav	penguin_small.jpg	target_big.jpg	penguin_big.jpg	sock_big.jpg	bush_small.jpg
100	l1	train	train60	no_contrast	rooster.wav	rooster_big.jpg	teabag_small.jpg	rooster_small.jpg	eiffeltower_big.jpg	glove_small.jpg
101	l1	train	train61	no_contrast	saxophone.wav	saxophone_small.jpg	alarmclock_big.jpg	saxophone_big.jpg	window_big.jpg	pearls_small.jpg
102	l1	train	train62	no_contrast	shark.wav	shark_big.jpg	domino_small.jpg	shark_small.jpg	croissant_big.jpg	waffle_small.jpg
103	l1	train	train63	no_contrast	stool.wav	stool_small.jpg	jeep_big.jpg	stool_big.jpg	table_big.jpg	cushion_small.jpg
104	l1	train	train64	no_contrast	tacos.wav	tacos_big.jpg	nut_small.jpg	tacos_small.jpg	footstool_big.jpg	sunflower_small.jpg
105	l1	train	train65	no_contrast	tie.wav	tie_small.jpg	mushroom_big.jpg	tie_big.jpg	swan_big.jpg	cougar_small.jpg
106	l1	train	train66	no_contrast	toy.wav	toy_big.jpg	camel_small.jpg	toy_small.jpg	coconut_big.jpg	stingray_small.jpg
107	l1	train	train67	no_contrast	triangle.wav	triangle_small.jpg	yarn_big.jpg	triangle_big.jpg	asparagus_big.jpg	leash_small.jpg
108	l1	train	train68	no_contrast	whistle.wav	whistle_big.jpg	banjo_small.jpg	whistle_small.jpg	ghost_big.jpg	sheep_small.jpg
109	l1	train	train69	no_contrast	zebra.wav	zebra_small.jpg	bat_big.jpg	zebra_big.jpg	telescope_big.jpg	icecreambar_small.jpg
110	l1	train	train70	no_contrast	bowlingpin.wav	bowlingpin_big.jpg	eagle_small.jpg	bowlingpin_small.jpg	chick_big.jpg	raspberry_small.jpg
111	l1	train	train71	no_contrast	fork.wav	fork_small.jpg	wallet_big.jpg	fork_big.jpg	pig_big.jpg	blender_small.jpg
112	l1	train	train72	no_contrast	screen.wav	screen_big.jpg	necklace_small.jpg	screen_small.jpg	harmonica_big.jpg	peanut_small.jpg
113	l1	train	train73	no_contrast	vase.wav	vase_small.jpg	suit_big.jpg	vase_big.jpg	partyhat_big.jpg	burger_small.jpg
114	l1	train	train74	no_contrast	paintbrush.wav	paintbrush_big.jpg	boat_small.jpg	paintbrush_small.jpg	goose_big.jpg	parrot_small.jpg
